order_id,customer_id,order_amount,order_date
1,217,29.89,2026-06-05
2,389,230.08,2026-02-22
3,432,142.74,2026-07-09
4,20,129.87,2025-12-21
5,359,375.77,2026-05-18
6,42,115.99,2026-06-23
7,205,378.35,2026-08-02
8,245,420.42,2026-03-26
9,224,67.48,2026-08-22
10,378,235.19,2026-03-24
11,118,88.06,2025-10-21
12,319,390.01,2025-11-29
13,320,58.51,2025-11-15
14,385,290.02,2026-04-26
15,78,201.34,2026-08-05
16,249,298.09,2026-07-09
17,124,55.44,2025-10-05
18,43,399.13,2026-05-25
19,380,176.87,2025-11-10
20,13,39.13,2025-12-09
21,109,425.54,2026-05-06
22,471,219.59,2026-04-10
23,277,355.12,2026-07-18
24,496,309.88,2025-11-09
25,275,235.11,2026-06-07
26,89,164.54,2026-05-25
27,476,143.07,2026-03-25
28,345,287.08,2026-02-24
29,187,19.21,2026-07-17
30,265,246.34,2026-01-01
31,283,173.47,2026-08-18
32,196,280.12,2025-09-07
33,501,47.38,2026-08-11
34,488,279.81,2026-08-20
35,18,324.72,2025-10-14
36,250,51.06,2026-09-02
37,485,156.57,2026-02-24
38,339,278.97,2025-11-29
39,314,179.15,2026-04-11
40,198,129.44,2025-11-15
41,190,161.2,2026-08-02
42,284,99.81,2026-03-23
43,290,363.67,2026-06-12
44,304,490.35,2026-01-19
45,15,117.6,2026-03-16
46,47,355.47,2026-01-11
47,130,487.28,2025-12-06
48,106,320.75,2026-03-08
49,481,437.0,2026-03-03
50,53,241.96,2025-10-08
51,117,129.98,2026-08-27
52,76,411.95,2026-02-20
53,156,290.63,2026-07-06
54,312,78.85,2026-08-02
55,427,47.16,2026-01-15
56,232,305.13,2026-01-31
57,454,388.97,2026-03-26
58,440,152.19,2025-11-21
59,102,156.16,2025-10-25
60,217,474.06,2025-12-06
61,246,136.0,2026-08-10
62,3,91.04,2026-04-01
63,482,207.22,2026-02-01
64,290,149.17,2025-10-27
65,240,352.98,2025-12-31
66,203,462.34,2026-01-19
67,153,215.44,2026-07-04
68,74,454.66,2026-03-03
69,296,34.52,2026-04-29
70,312,222.38,2026-05-10
71,513,351.37,2025-12-05
72,41,272.29,2026-06-29
73,257,445.26,2026-08-21
74,22,17.8,2026-04-24
75,276,499.79,2026-02-28
76,180,290.24,2025-11-02
77,285,237.9,2026-06-19
78,504,94.84,2025-11-02
79,419,484.68,2026-05-23
80,165,169.99,2026-02-27
81,296,168.25,2026-08-03
82,38,332.98,2026-03-19
83,332,230.14,2026-04-24
84,2,62.38,2025-09-23
85,424,330.54,2025-09-14
86,511,31.83,2026-07-08
87,209,314.58,2026-08-13
88,295,137.19,2026-05-04
89,125,221.87,2026-06-08
90,246,19.29,2026-01-30
91,15,356.34,2026-07-07
92,117,278.36,2025-11-25
93,158,233.42,2026-05-18
94,280,251.7,2025-09-05
95,484,210.67,2026-03-06
96,393,125.65,2026-01-16
97,140,99.35,2026-04-16
98,425,432.69,2026-05-04
99,274,173.24,2026-04-15
100,306,411.17,2026-02-25
101,502,419.55,2026-02-27
102,496,433.3,2025-09-04
103,387,175.84,2026-03-22
104,194,230.4,2025-09-06
105,393,490.48,2026-03-14
106,45,120.61,2025-12-11
107,391,162.5,2026-08-25
108,156,196.11,2025-09-08
109,515,250.19,2026-06-26
110,103,482.85,2026-05-06
111,468,437.72,2026-06-24
